,counts,region,color,mode
954,75.0,"b-,r+",blue,ni
955,24.0,"b-,r+",red,ni
956,0.0,"b+,r-",blue,ni
957,0.0,"b+,r-",red,ni
958,0.0,"b-,r-",blue,ni
959,0.0,"b-,r-",red,ni
960,0.0,"b+,r+",blue,ni
961,0.0,"b+,r+",red,ni
962,71.0,"b-,r+",blue,ni
963,29.0,"b-,r+",red,ni
964,0.0,"b+,r-",blue,ni
965,0.0,"b+,r-",red,ni
966,0.0,"b-,r-",blue,ni
967,0.0,"b-,r-",red,ni
968,0.0,"b+,r+",blue,ni
969,1.0,"b+,r+",red,ni
970,72.0,"b-,r+",blue,ni
971,27.0,"b-,r+",red,ni
972,0.0,"b+,r-",blue,ni
973,0.0,"b+,r-",red,ni
974,0.0,"b-,r-",blue,ni
975,0.0,"b-,r-",red,ni
976,0.0,"b+,r+",blue,ni
977,0.0,"b+,r+",red,ni
978,81.0,"b-,r+",blue,ni
979,19.0,"b-,r+",red,ni
980,0.0,"b+,r-",blue,ni
981,0.0,"b+,r-",red,ni
982,0.0,"b-,r-",blue,ni
983,0.0,"b-,r-",red,ni
984,1.0,"b+,r+",blue,ni
985,0.0,"b+,r+",red,ni
986,74.0,"b-,r+",blue,ni
987,25.0,"b-,r+",red,ni
988,0.0,"b+,r-",blue,ni
989,0.0,"b+,r-",red,ni
990,0.0,"b-,r-",blue,ni
991,0.0,"b-,r-",red,ni
992,1.0,"b+,r+",blue,ni
993,0.0,"b+,r+",red,ni
994,60.0,"b-,r+",blue,ni
995,39.0,"b-,r+",red,ni
996,0.0,"b+,r-",blue,ni
997,0.0,"b+,r-",red,ni
998,0.0,"b-,r-",blue,ni
999,0.0,"b-,r-",red,ni
1000,1.0,"b+,r+",blue,ni
1001,0.0,"b+,r+",red,ni
1002,65.0,"b-,r+",blue,ni
1003,34.0,"b-,r+",red,ni
1004,0.0,"b+,r-",blue,ni
1005,0.0,"b+,r-",red,ni
1006,0.0,"b-,r-",blue,ni
1007,0.0,"b-,r-",red,ni
1008,1.0,"b+,r+",blue,ni
1009,0.0,"b+,r+",red,ni
1010,80.0,"b-,r+",blue,ni
1011,19.0,"b-,r+",red,ni
1012,0.0,"b+,r-",blue,ni
1013,0.0,"b+,r-",red,ni
1014,0.0,"b-,r-",blue,ni
1015,0.0,"b-,r-",red,ni
1016,1.0,"b+,r+",blue,ni
1017,0.0,"b+,r+",red,ni
1018,78.0,"b-,r+",blue,ni
1019,21.0,"b-,r+",red,ni
1020,0.0,"b+,r-",blue,ni
1021,0.0,"b+,r-",red,ni
1022,0.0,"b-,r-",blue,ni
1023,0.0,"b-,r-",red,ni
1024,0.0,"b+,r+",blue,ni
1025,0.0,"b+,r+",red,ni
1026,90.0,"b-,r+",blue,ni
1027,10.0,"b-,r+",red,ni
1028,0.0,"b+,r-",blue,ni
1029,0.0,"b+,r-",red,ni
1030,0.0,"b-,r-",blue,ni
1031,0.0,"b-,r-",red,ni
1032,1.0,"b+,r+",blue,ni
1033,0.0,"b+,r+",red,ni
1034,91.0,"b-,r+",blue,ni
1035,8.0,"b-,r+",red,ni
1036,0.0,"b+,r-",blue,ni
1037,0.0,"b+,r-",red,ni
1038,0.0,"b-,r-",blue,ni
1039,0.0,"b-,r-",red,ni
1040,1.0,"b+,r+",blue,ni
1041,0.0,"b+,r+",red,ni
1042,76.0,"b-,r+",blue,ni
1043,23.0,"b-,r+",red,ni
1044,0.0,"b+,r-",blue,ni
1045,0.0,"b+,r-",red,ni
1046,0.0,"b-,r-",blue,ni
1047,0.0,"b-,r-",red,ni
1048,4.0,"b+,r+",blue,ni
1049,1.0,"b+,r+",red,ni
1050,78.0,"b-,r+",blue,ni
1051,17.0,"b-,r+",red,ni
1052,0.0,"b+,r-",blue,ni
1053,0.0,"b+,r-",red,ni
1054,0.0,"b-,r-",blue,ni
1055,0.0,"b-,r-",red,ni
1056,0.0,"b+,r+",blue,ni
1057,0.0,"b+,r+",red,ni
1058,73.0,"b-,r+",blue,ni
1059,27.0,"b-,r+",red,ni
1060,0.0,"b+,r-",blue,ni
1061,0.0,"b+,r-",red,ni
1062,0.0,"b-,r-",blue,ni
1063,0.0,"b-,r-",red,ni
1064,0.0,"b+,r+",blue,ni
1065,0.0,"b+,r+",red,ni
1066,76.0,"b-,r+",blue,ni
1067,24.0,"b-,r+",red,ni
1068,0.0,"b+,r-",blue,ni
1069,0.0,"b+,r-",red,ni
1070,0.0,"b-,r-",blue,ni
1071,0.0,"b-,r-",red,ni
1072,1.0,"b+,r+",blue,ni
1073,0.0,"b+,r+",red,ni
1074,86.0,"b-,r+",blue,ni
1075,13.0,"b-,r+",red,ni
1076,0.0,"b+,r-",blue,ni
1077,0.0,"b+,r-",red,ni
1078,0.0,"b-,r-",blue,ni
1079,0.0,"b-,r-",red,ni
1080,1.0,"b+,r+",blue,ni
1081,0.0,"b+,r+",red,ni
1082,71.0,"b-,r+",blue,ni
1083,28.0,"b-,r+",red,ni
1084,0.0,"b+,r-",blue,ni
1085,0.0,"b+,r-",red,ni
1086,0.0,"b-,r-",blue,ni
1087,0.0,"b-,r-",red,ni
1088,0.0,"b+,r+",blue,ni
1089,0.0,"b+,r+",red,ni
1090,72.0,"b-,r+",blue,ni
1091,28.0,"b-,r+",red,ni
1092,0.0,"b+,r-",blue,ni
1093,0.0,"b+,r-",red,ni
1094,0.0,"b-,r-",blue,ni
1095,0.0,"b-,r-",red,ni
1096,1.0,"b+,r+",blue,ni
1097,0.0,"b+,r+",red,ni
1098,84.0,"b-,r+",blue,ni
1099,15.0,"b-,r+",red,ni
1100,0.0,"b+,r-",blue,ni
1101,0.0,"b+,r-",red,ni
1102,0.0,"b-,r-",blue,ni
1103,0.0,"b-,r-",red,ni
1104,2.0,"b+,r+",blue,ni
1105,0.0,"b+,r+",red,ni
1106,79.0,"b-,r+",blue,ni
1107,19.0,"b-,r+",red,ni
1108,0.0,"b+,r-",blue,ni
1109,0.0,"b+,r-",red,ni
1110,0.0,"b-,r-",blue,ni
1111,0.0,"b-,r-",red,ni
1112,1.0,"b+,r+",blue,ni
1113,0.0,"b+,r+",red,ni
1114,61.0,"b-,r+",blue,ni
1115,38.0,"b-,r+",red,ni
1116,0.0,"b+,r-",blue,ni
1117,0.0,"b+,r-",red,ni
1118,0.0,"b-,r-",blue,ni
1119,0.0,"b-,r-",red,ni
1120,0.0,"b+,r+",blue,ni
1121,0.0,"b+,r+",red,ni
1122,75.0,"b-,r+",blue,ni
1123,25.0,"b-,r+",red,ni
1124,0.0,"b+,r-",blue,ni
1125,0.0,"b+,r-",red,ni
1126,0.0,"b-,r-",blue,ni
1127,0.0,"b-,r-",red,ni
1128,2.0,"b+,r+",blue,ni
1129,0.0,"b+,r+",red,ni
1130,68.0,"b-,r+",blue,ni
1131,30.0,"b-,r+",red,ni
1132,0.0,"b+,r-",blue,ni
1133,0.0,"b+,r-",red,ni
1134,0.0,"b-,r-",blue,ni
1135,0.0,"b-,r-",red,ni
1136,2.0,"b+,r+",blue,ni
1137,0.0,"b+,r+",red,ni
1138,81.0,"b-,r+",blue,ni
1139,17.0,"b-,r+",red,ni
1140,0.0,"b+,r-",blue,ni
1141,0.0,"b+,r-",red,ni
1142,0.0,"b-,r-",blue,ni
1143,0.0,"b-,r-",red,ni
1144,0.0,"b+,r+",blue,ni
1145,0.0,"b+,r+",red,ni
1146,86.0,"b-,r+",blue,ni
1147,14.0,"b-,r+",red,ni
1148,0.0,"b+,r-",blue,ni
1149,0.0,"b+,r-",red,ni
1150,0.0,"b-,r-",blue,ni
1151,0.0,"b-,r-",red,ni
1152,0.0,"b+,r+",blue,ni
1153,0.0,"b+,r+",red,ni
1154,89.0,"b-,r+",blue,ni
1155,11.0,"b-,r+",red,ni
1156,0.0,"b+,r-",blue,ni
1157,0.0,"b+,r-",red,ni
1158,0.0,"b-,r-",blue,ni
1159,0.0,"b-,r-",red,ni
1160,1.0,"b+,r+",blue,ni
1161,1.0,"b+,r+",red,ni
1162,66.0,"b-,r+",blue,ni
1163,32.0,"b-,r+",red,ni
1164,0.0,"b+,r-",blue,ni
1165,0.0,"b+,r-",red,ni
1166,0.0,"b-,r-",blue,ni
1167,0.0,"b-,r-",red,ni
1168,1.0,"b+,r+",blue,ni
1169,0.0,"b+,r+",red,ni
1170,69.0,"b-,r+",blue,ni
1171,30.0,"b-,r+",red,ni
1172,0.0,"b+,r-",blue,ni
1173,0.0,"b+,r-",red,ni
1174,0.0,"b-,r-",blue,ni
1175,0.0,"b-,r-",red,ni
1176,1.0,"b+,r+",blue,ni
1177,0.0,"b+,r+",red,ni
1178,84.0,"b-,r+",blue,ni
1179,15.0,"b-,r+",red,ni
1180,0.0,"b+,r-",blue,ni
1181,0.0,"b+,r-",red,ni
1182,0.0,"b-,r-",blue,ni
1183,0.0,"b-,r-",red,ni
1184,0.0,"b+,r+",blue,ni
1185,0.0,"b+,r+",red,ni
1186,75.0,"b-,r+",blue,ni
1187,25.0,"b-,r+",red,ni
1188,0.0,"b+,r-",blue,ni
1189,0.0,"b+,r-",red,ni
1190,0.0,"b-,r-",blue,ni
1191,0.0,"b-,r-",red,ni
1192,1.0,"b+,r+",blue,ni
1193,1.0,"b+,r+",red,ni
1194,74.0,"b-,r+",blue,ni
1195,24.0,"b-,r+",red,ni
1196,0.0,"b+,r-",blue,ni
1197,0.0,"b+,r-",red,ni
1198,0.0,"b-,r-",blue,ni
1199,0.0,"b-,r-",red,ni
