steps	episodes	elapsed	mean	median	stdev	max	min	length_mean	length_median	length_stdev	length_max	length_min	intero_error_mean	blue_eaten	red_eaten	average_value	average_entropy	average_value_loss	average_policy_loss	average_kl_loss	n_updates	explained_variance
3000000	417	2431.0835020542145	-172.045059520685	-172.47804384666244	20.858218324607474	-133.65318119923512	-198.6256267109822	7563.3	7535.5	1324.2352132457436	10558.0	5763.0	0.6759243478370056	1.4	0.9	-1.8828454	-1.0688508	0.3943850657343864	-0.0073923858761554585	0.01480078580789268	1800	0.7893063732961448
6000000	724	5658.852370738983	-161.4336636137941	-167.70882143060948	27.84577972742123	-115.3354760091316	-196.97659586532822	16700.0	16567.5	4146.650241125025	22764.0	10317.0	0.5446532248308198	6.3	4.2	-1.3312987	-1.6774485	1.0862483739852906	-0.009863308575004339	0.013553691608831287	3600	0.5282052474086056
9000000	799	10126.203563213348	-129.73829981840592	-132.38275955464604	45.222505299506594	-50.75032319193882	-195.94816120350544	35496.8	33322.0	18104.63464174605	60000.0	14542.0	0.45501565098908153	30.8	28.1	-0.15206197	-2.2245874	1.6344115591049195	-0.010756537874694914	0.013898290172219276	5400	0.27586572116123986
12000000	819	14574.897801399231	-62.27894999469381	-48.77330791041199	36.84921604628241	-44.859608083348945	-165.01052157096203	59538.3	60000.0	1460.0235956997408	60000.0	55383.0	0.2807604314711245	0.8	0.4	-0.08885002	-2.6445384	0.2996229895949364	-0.011452456787228584	0.01332706124521792	7200	0.36402369058179795
15000000	819	21334.725876808167	-85.24583908001026	-46.55821666778806	121.18201404543649	-41.27378960671641	-429.79250699198855	58846.3	60000.0	3648.3197365362594	60000.0	48463.0	0.1657346860276075	1.8	2.0	0.06689995	-3.135254	0.11101685211062431	-0.011883532367646695	0.012995066745206714	9000	0.49718447668669463
18000000	819	34228.66080713272	-84.8991045409938	-42.66416507678731	133.21087038649904	-40.699049601194844	-463.9883036973572	58640.9	60000.0	4297.851567934845	60000.0	46409.0	0.11350426085229193	1.5	2.3	-0.15351564	-3.2593782	0.047045199982821945	-0.011892022621759679	0.01385552722029388	10800	0.5214560171123629
21000000	819	49725.4242079258	-37.56837423499595	-37.37183066241665	1.8617012556142225	-34.49401294682666	-39.7828439861078	60000.0	60000.0	0.0	60000.0	60000.0	0.07179338214914109	0.0	0.0	-0.08438403	-3.7629647	0.017482011802494524	-0.011973589400295168	0.013089940268546343	12600	0.6690412971310065
24000000	819	64068.449499607086	-35.215964329630665	-34.66226623239742	1.5914866872690516	-33.33784424254219	-38.385554824473616	60000.0	60000.0	0.0	60000.0	60000.0	0.053391902285255456	0.0	0.0	-0.15394348	-4.0516305	0.006818209327757358	-0.011841369924222817	0.012987330686300994	14400	0.7647796117557945
27000000	819	78464.64689421654	-31.4909013342818	-31.606632510988337	1.1886032269980646	-29.782378974366207	-34.07673436615397	60000.0	60000.0	0.0	60000.0	60000.0	0.04843035124940106	0.0	0.0	-0.07151496	-4.3816986	0.004471407881937921	-0.011569947055540979	0.012814692975953222	16200	0.7714124524714477
30000000	820	91089.39837312698	-75.837065851535	-29.97912867593797	145.03380859862006	-28.51029802232572	-488.60518929798104	56022.9	60000.0	12576.694482255662	60000.0	20229.0	0.06494899609236664	6.7	5.1	-0.07633275	-4.8495245	0.002517156475223601	-0.011607439492363482	0.012207725271582603	18000	0.8071246889091546
